"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"104","Cocktail","campari","On the rocks; poured over ice","Orange peel or cherry","Old Fashioned glass",NA,"Stir with ice, strain, garnish and serve.",NA,"30 ml (1 part) campari","Boulevardier","campari"
"105","Cocktail",NA,"On the rocks; poured over ice","Lemon peel","Highball glass",NA,"Build over ice; stir. Garnish with twist of lemon peel.",NA,"9 parts Bourbon","Bourbon lancer","whiskey"
"106","Cocktail",NA,"On the rocks; poured over ice","Lemon peel","Highball glass",NA,"Build over ice; stir. Garnish with twist of lemon peel.",NA,"16 parts Champagne","Bourbon lancer","champagne"
"107","Cocktail",NA,"On the rocks; poured over ice","Lemon peel","Highball glass",NA,"Build over ice; stir. Garnish with twist of lemon peel.",NA,"3 dashes Angostura bitters","Bourbon lancer","bitters"
"108","Cocktail","brandy","Straight up; without ice","Grated nutmeg","Cocktail glass",NA,"Shake and strain into a chilled cocktail glass. Sprinkle with fresh ground nutmeg.",NA,"3 cl (1 part) Cognac","Brandy Alexander","cognac"
"109","Cocktail","brandy","Straight up; without ice","Grated nutmeg","Cocktail glass",NA,"Shake and strain into a chilled cocktail glass. Sprinkle with fresh ground nutmeg.",NA,"3 cl (1 part) Crème de cacao (brown)","Brandy Alexander","crème de cacao"
"110","Cocktail","brandy","Straight up; without ice","Grated nutmeg","Cocktail glass",NA,"Shake and strain into a chilled cocktail glass. Sprinkle with fresh ground nutmeg.",NA,"3 cl (1 part) Fresh cream","Brandy Alexander","cream"
"111","Cocktail","brandy","straight up (without ice)",NA,"Coupe",NA,"Shake with ice in a cocktail shaker, then strain into a chilled Coupe glass and top with a splash of chilled club soda or seltzer.",NA,"1½ ounces brandy","Brandy Daisy","brandy"
"112","Cocktail","brandy","straight up (without ice)",NA,"Coupe",NA,"Shake with ice in a cocktail shaker, then strain into a chilled Coupe glass and top with a splash of chilled club soda or seltzer.",NA,"¾ ounce yellow Chartreuse","Brandy Daisy","yellow chartreuse"
"113","Cocktail","brandy","straight up (without ice)",NA,"Coupe",NA,"Shake with ice in a cocktail shaker, then strain into a chilled Coupe glass and top with a splash of chilled club soda or seltzer.",NA,"¾ ounce lemon juice","Brandy Daisy","lemon juice"
"114","Cocktail","brandy","On the rocks; poured over ice",NA,"Highball glass",NA,"Stir into glass over ice, garnish and serve.",NA,"5 cl (two parts) Cyprus brandy","Brandy Sour","brandy"
"115","Cocktail","brandy","On the rocks; poured over ice",NA,"Highball glass",NA,"Stir into glass over ice, garnish and serve.",NA,"2.5 cl (one part) lemon squash","Brandy Sour","lemon"
"116","Cocktail","brandy","On the rocks; poured over ice",NA,"Highball glass",NA,"Stir into glass over ice, garnish and serve.",NA,"2–4 drops of bitters","Brandy Sour","bitters"
"117","Cocktail","brandy","On the rocks; poured over ice",NA,"Highball glass",NA,"Stir into glass over ice, garnish and serve.",NA,"Top with carbonated water","Brandy Sour","top"
"118","Cocktail",NA,"On the rocks; poured over ice",NA,"Highball glass",NA,"Stir together and serve over ice.",NA,"One part dark rum","Brass Monkey","rum"
"119","Cocktail",NA,"On the rocks; poured over ice",NA,"Highball glass",NA,"Stir together and serve over ice.",NA,"One part vodka","Brass Monkey","vodka"
"120","Cocktail",NA,"On the rocks; poured over ice",NA,"Highball glass",NA,"Stir together and serve over ice.",NA,"One part orange juice","Brass Monkey","orange juice"
"121","Cocktail","whiskey","Straight up; without ice","cherry","Cocktail glass",NA,"Stirred over ice, strained into a chilled glass, garnished, and served straight up.",NA,"2 oz rye or Canadian whisky","Brooklyn","whiskey"
"122","Cocktail","whiskey","Straight up; without ice","cherry","Cocktail glass",NA,"Stirred over ice, strained into a chilled glass, garnished, and served straight up.",NA,"1 oz dry vermouth","Brooklyn","vermouth"
"123","Cocktail","whiskey","Straight up; without ice","cherry","Cocktail glass",NA,"Stirred over ice, strained into a chilled glass, garnished, and served straight up.",NA,"1/4 oz Maraschino liqueur","Brooklyn","maraschino liqueur"
"124","Cocktail","whiskey","Straight up; without ice","cherry","Cocktail glass",NA,"Stirred over ice, strained into a chilled glass, garnished, and served straight up.",NA,"1/4 oz Picon or a few dashes of Angostura bitters","Brooklyn","bitters"
"125","Cocktail","whiskey","Straight up; without ice","cherry","Cocktail glass",NA,"Stirred over ice, strained into a chilled glass, garnished, and served straight up.",NA,"Maraschino cherry (Garnish)","Brooklyn","maraschino cherry"
"126","Cocktail","rum","Straight up; without ice","Nutmeg","Old Fashioned glass",NA,"Mix and garnish.",NA,"2 ounces rum","Bumbo","rum"
"127","Cocktail","rum","Straight up; without ice","Nutmeg","Old Fashioned glass",NA,"Mix and garnish.",NA,"1 ounce water","Bumbo",""
"128","Cocktail","rum","Straight up; without ice","Nutmeg","Old Fashioned glass",NA,"Mix and garnish.",NA,"2 sugar cubes","Bumbo","sugar"
"129","Cocktail","rum","Straight up; without ice","Nutmeg","Old Fashioned glass",NA,"Mix and garnish.",NA,"Sprinkle <U+200B>1/4 teaspoon to taste cinnamon","Bumbo","sprinkle <U+200B>/   taste cinnamon"
"130","Cocktail","rum","Straight up; without ice","Nutmeg","Old Fashioned glass",NA,"Mix and garnish.",NA,"Sprinkle <U+200B>1/4 teaspoon to taste nutmeg","Bumbo","sprinkle <U+200B>/   taste nutmeg"
"131","Cocktail",NA,"straight up","Maraschino Cherry","Hurricane Glass",NA,"Blend all the ingredients together in a blender, including the ice, and then strain into a hurricane glass. Place cherry on top of the drink as a garnish and serve. Whipped cream can also be added as a garnish to the top of the drink before the cherry.[1]",NA,"1 ounce Dark Rum","Bushwacker","rum"
"132","Cocktail",NA,"straight up","Maraschino Cherry","Hurricane Glass",NA,"Blend all the ingredients together in a blender, including the ice, and then strain into a hurricane glass. Place cherry on top of the drink as a garnish and serve. Whipped cream can also be added as a garnish to the top of the drink before the cherry.[1]",NA,"1 ounce Kahlúa","Bushwacker","coffee liqueur"
"133","Cocktail",NA,"straight up","Maraschino Cherry","Hurricane Glass",NA,"Blend all the ingredients together in a blender, including the ice, and then strain into a hurricane glass. Place cherry on top of the drink as a garnish and serve. Whipped cream can also be added as a garnish to the top of the drink before the cherry.[1]",NA,"1 ounce Dark Crème de Cacao","Bushwacker","dark crème de cacao"
"134","Cocktail",NA,"straight up","Maraschino Cherry","Hurricane Glass",NA,"Blend all the ingredients together in a blender, including the ice, and then strain into a hurricane glass. Place cherry on top of the drink as a garnish and serve. Whipped cream can also be added as a garnish to the top of the drink before the cherry.[1]",NA,"2 ounces Cream of Coconut","Bushwacker","cream  coconut"
"135","Cocktail",NA,"straight up","Maraschino Cherry","Hurricane Glass",NA,"Blend all the ingredients together in a blender, including the ice, and then strain into a hurricane glass. Place cherry on top of the drink as a garnish and serve. Whipped cream can also be added as a garnish to the top of the drink before the cherry.[1]",NA,"2 ounces Milk or Half & Half","Bushwacker","milk  half  half"
"136","Cocktail",NA,"straight up","Maraschino Cherry","Hurricane Glass",NA,"Blend all the ingredients together in a blender, including the ice, and then strain into a hurricane glass. Place cherry on top of the drink as a garnish and serve. Whipped cream can also be added as a garnish to the top of the drink before the cherry.[1]",NA,"1 cup ice","Bushwacker","ice"
"137","Cocktail","vodka","on the rocks","stalk of celery and wedge of lime","Highball glass",NA,"Rim glass with celery salt, and a lime wedge.",NA,"6 oz. Clamato Juice","Caesar","clamato juice"
"138","Cocktail","vodka","on the rocks","stalk of celery and wedge of lime","Highball glass",NA,"Rim glass with celery salt, and a lime wedge.",NA,"1–1½ oz. vodka","Caesar","–  vodka"
"139","Cocktail","vodka","on the rocks","stalk of celery and wedge of lime","Highball glass",NA,"Rim glass with celery salt, and a lime wedge.",NA,"2 dashes hot sauce","Caesar","sauce"
"140","Cocktail","vodka","on the rocks","stalk of celery and wedge of lime","Highball glass",NA,"Rim glass with celery salt, and a lime wedge.",NA,"4 dashes Worcestershire sauce","Caesar","worcestershire sauce"
"141","Cocktail","vodka","on the rocks","stalk of celery and wedge of lime","Highball glass",NA,"Rim glass with celery salt, and a lime wedge.",NA,"Celery salt","Caesar","celery"
"142","Cocktail","vodka","on the rocks","stalk of celery and wedge of lime","Highball glass",NA,"Rim glass with celery salt, and a lime wedge.",NA,"Freshly ground pepper","Caesar","ground pepper"
"143","Cocktail","vodka","on the rocks","stalk of celery and wedge of lime","Highball glass",NA,"Rim glass with celery salt, and a lime wedge.",NA,"Lime wedge","Caesar","lime"
"144","Cocktail","vodka","on the rocks","stalk of celery and wedge of lime","Highball glass",NA,"Rim glass with celery salt, and a lime wedge.",NA,"1 crisp celery stalk","Caesar","crisp celery stalk"
"145","Cocktail","cachaca","On the rocks; poured over ice","lime[2]","Old Fashioned glass",NA,"Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.[3]",NA,"50 ml (1<U+2154> fl oz) cachaca","Caipirinha","cachaca"
"146","Cocktail","cachaca","On the rocks; poured over ice","lime[2]","Old Fashioned glass",NA,"Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.[3]",NA,"½ Lime cut into 4 wedges (or tahiti lime, but not green lemon)","Caipirinha","lime cut   wedges"
"147","Cocktail","cachaca","On the rocks; poured over ice","lime[2]","Old Fashioned glass",NA,"Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.[3]",NA,"2 teaspoons crystal or refined sugar","Caipirinha","sugar"
"148","Cocktail","cachaca","On the rocks; poured over ice",NA,NA,NA,"Mix and pour into chilled glass.",NA,"2 parts cachaca","Caju amigo","cachaca"
"149","Cocktail","cachaca","On the rocks; poured over ice",NA,NA,NA,"Mix and pour into chilled glass.",NA,"1 part fruit juice","Caju amigo","fruit juice"
"150","Cocktail","cachaca","On the rocks; poured over ice",NA,NA,NA,"Mix and pour into chilled glass.",NA,"1 tbsp sugar","Caju amigo","sugar"
"151","Cocktail","vodka","On the rocks; poured over ice","lime slice","Highball glass",NA,"Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.",NA,"Vodka","Cape Codder","vodka"
"152","Cocktail","vodka","On the rocks; poured over ice","lime slice","Highball glass",NA,"Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.",NA,"Cranberry juice","Cape Codder","cranberry juice"
"153","Layered shooter","irish cream",NA,NA,"Shot glass",NA,NA,NA,"one part Baileys Irish Cream","Carrot Cake","baileys irish cream"
"154","Layered shooter","frangelico",NA,NA,"Shot glass",NA,NA,NA,"one part Baileys Irish Cream","Carrot Cake","baileys irish cream"
"155","Layered shooter","irish cream",NA,NA,"Shot glass",NA,NA,NA,"one part Hot Damn Cinnamon Schnapps","Carrot Cake","damn cinnamon schnapps"
"156","Layered shooter","frangelico",NA,NA,"Shot glass",NA,NA,NA,"one part Hot Damn Cinnamon Schnapps","Carrot Cake","damn cinnamon schnapps"
"157","Layered shooter","irish cream",NA,NA,"Shot glass",NA,NA,NA,"one part Frangelico","Carrot Cake","frangelico"
"158","Layered shooter","frangelico",NA,NA,"Shot glass",NA,NA,NA,"one part Frangelico","Carrot Cake","frangelico"
"159","Mixed drink","tequila","On the rocks; poured over ice","slice of unpeeled apple","Highball glass",NA,"Pour the tequila and unfiltered apple cider into glass over ice.  Add the lemon juice and creme de cassis and stir.  Garnish and serve.",NA,"1½ oz Tequila","Chimayo Cocktail","tequila"
"160","Mixed drink","tequila","On the rocks; poured over ice","slice of unpeeled apple","Highball glass",NA,"Pour the tequila and unfiltered apple cider into glass over ice.  Add the lemon juice and creme de cassis and stir.  Garnish and serve.",NA,"1 oz apple cider","Chimayo Cocktail","apple cider"
"161","Mixed drink","tequila","On the rocks; poured over ice","slice of unpeeled apple","Highball glass",NA,"Pour the tequila and unfiltered apple cider into glass over ice.  Add the lemon juice and creme de cassis and stir.  Garnish and serve.",NA,"1/4 oz lemon juice","Chimayo Cocktail","lemon juice"
"162","Mixed drink","tequila","On the rocks; poured over ice","slice of unpeeled apple","Highball glass",NA,"Pour the tequila and unfiltered apple cider into glass over ice.  Add the lemon juice and creme de cassis and stir.  Garnish and serve.",NA,"1/4 oz creme de cassis","Chimayo Cocktail","creme de cassis"
"163","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"3 parts Scotch whisky","Churchill","whiskey"
"164","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Lime Juice","Churchill","lime juice"
"165","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Sweet Vermouth","Churchill","vermouth"
"166","Cocktail","whiskey","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Cointreau","Churchill","cointreau"
"167","Cocktail","rum","straight up in a cocktail glass","Trimmed coconut and mint leaf","Cocktail glass",NA,"In a shaker add white rum, Malibu, lime juice, some mint leaves and crushed ice, garnish with the sprig of mint.",NA,"15ml of white rum","Cojito","rum"
"168","Cocktail","rum","straight up in a cocktail glass","Trimmed coconut and mint leaf","Cocktail glass",NA,"In a shaker add white rum, Malibu, lime juice, some mint leaves and crushed ice, garnish with the sprig of mint.",NA,"5ml Malibu","Cojito","malibu"
"169","Cocktail","rum","straight up in a cocktail glass","Trimmed coconut and mint leaf","Cocktail glass",NA,"In a shaker add white rum, Malibu, lime juice, some mint leaves and crushed ice, garnish with the sprig of mint.",NA,"5ml lime juice","Cojito","lime juice"
"170","Cocktail","rum","straight up in a cocktail glass","Trimmed coconut and mint leaf","Cocktail glass",NA,"In a shaker add white rum, Malibu, lime juice, some mint leaves and crushed ice, garnish with the sprig of mint.",NA,"Mint leaves","Cojito","mint"
"171","Cocktail","rum","straight up in a cocktail glass","Trimmed coconut and mint leaf","Cocktail glass",NA,"In a shaker add white rum, Malibu, lime juice, some mint leaves and crushed ice, garnish with the sprig of mint.",NA,"1 sprig of mint","Cojito","mint"
"172","Cocktail","vodka",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"2 parts vodka or brandy[1]","Colombia","brandy"
"173","Cocktail","curacao",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"2 parts vodka or brandy[1]","Colombia","brandy"
"174","Cocktail","vodka",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"1 part blue Curacao","Colombia","blue curacao"
"175","Cocktail","curacao",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"1 part blue Curacao","Colombia","blue curacao"
"176","Cocktail","vodka",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"1 part grenadine","Colombia","grenadine"
"177","Cocktail","curacao",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"1 part grenadine","Colombia","grenadine"
"178","Cocktail","vodka",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"1 part lemon juice","Colombia","lemon juice"
"179","Cocktail","curacao",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"1 part lemon juice","Colombia","lemon juice"
"180","Cocktail","vodka",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"6 parts orange juice","Colombia","orange juice"
"181","Cocktail","curacao",NA,NA,"Highball glass",NA,"Shake the vodka and citrus juices in a mixer, then strain into the glass.  Slide the grenadine down one side of the glass, where it will sink to the bottom.  Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",NA,"6 parts orange juice","Colombia","orange juice"
"182","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Elixir d’Anu (Belgium)","Common Market","elixir d’anu"
"183","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Cherry Brandy (Denmark)","Common Market","brandy"
"184","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Noilly Prat (France)","Common Market","noilly prat"
"185","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Schlichte (West Germany)","Common Market","schlichte"
"186","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Sloe gin (Britain)","Common Market","gin"
"187","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Orange Curacao (Netherlands)","Common Market","orange curacao"
"188","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Dry White Wine (Luxembourg)","Common Market","dry white wine"
"189","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Coffee Liqueur (Ireland)","Common Market","coffee liqueur"
"190","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Carpano (Italy)","Common Market","carpano"
"191","Cocktail","vodka","Straight up; without ice","lime slice","Cocktail glass","4 cl Vodka Citron","Shake all ingredients in cocktail shaker filled with ice. Strain into a large cocktail glass. Garnish with lime slice.","All day",NA,"Cosmopolitan","vodka citron"
"192","Cocktail","vodka","Straight up; without ice","lime slice","Cocktail glass","1.5 cl Cointreau","Shake all ingredients in cocktail shaker filled with ice. Strain into a large cocktail glass. Garnish with lime slice.","All day",NA,"Cosmopolitan","cointreau"
"193","Cocktail","vodka","Straight up; without ice","lime slice","Cocktail glass","1.5 cl Fresh lime juice","Shake all ingredients in cocktail shaker filled with ice. Strain into a large cocktail glass. Garnish with lime slice.","All day",NA,"Cosmopolitan","lime juice"
"194","Cocktail","vodka","Straight up; without ice","lime slice","Cocktail glass","3 cl Cranberry juice","Shake all ingredients in cocktail shaker filled with ice. Strain into a large cocktail glass. Garnish with lime slice.","All day",NA,"Cosmopolitan","cranberry juice"
"195","Mixed drink","rum","hot",NA,NA,NA,"Mix all ingredients in a pot, heat, then set aflame. Put out when about 1/3 of the drink has burned away. Serve hot in coffee mugs or glasses.",NA,"dark rum","Cremat","rum"
"196","Mixed drink","rum","hot",NA,NA,NA,"Mix all ingredients in a pot, heat, then set aflame. Put out when about 1/3 of the drink has burned away. Serve hot in coffee mugs or glasses.",NA,"sugar","Cremat","sugar"
"197","Mixed drink","rum","hot",NA,NA,NA,"Mix all ingredients in a pot, heat, then set aflame. Put out when about 1/3 of the drink has burned away. Serve hot in coffee mugs or glasses.",NA,"lemon peel","Cremat","lemon peel"
"198","Mixed drink","rum","hot",NA,NA,NA,"Mix all ingredients in a pot, heat, then set aflame. Put out when about 1/3 of the drink has burned away. Serve hot in coffee mugs or glasses.",NA,"cinnamon","Cremat","cinnamon"
"199","Mixed drink","rum","hot",NA,NA,NA,"Mix all ingredients in a pot, heat, then set aflame. Put out when about 1/3 of the drink has burned away. Serve hot in coffee mugs or glasses.",NA,"coffee beans","Cremat","coffee beans"
"200","Cocktail","rum","On the rocks; poured over ice","Lime wedge","Highball glass","12 cl Cola","Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.",NA,NA,"Cuba Libre (Rum and Coke)","cola"
"201","Cocktail","rum","On the rocks; poured over ice","Lime wedge","Highball glass","5 cl white rum","Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.",NA,NA,"Cuba Libre (Rum and Coke)","rum"
"202","Cocktail","rum","On the rocks; poured over ice","Lime wedge","Highball glass","1 cl Fresh lime juice","Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.",NA,NA,"Cuba Libre (Rum and Coke)","lime juice"
"203","Mixed drink",NA,"on the rocks, poured over ice","Lemon slice","Highball glass",NA,"Fill highball (tall) glass with ice. Mix lime soda, lemonade, guava nectar, and grenadine syrup together to form a mixture. Pour rum into glasses over ice, then evenly layer the guava mixture over the rum. Mix as desired. Garnish with a half-slice of lemon.[1]",NA,"4.5 cl (3 parts) rum (preferably white rum)","Cuban Sunset","rum"
"204","Mixed drink",NA,"on the rocks, poured over ice","Lemon slice","Highball glass",NA,"Fill highball (tall) glass with ice. Mix lime soda, lemonade, guava nectar, and grenadine syrup together to form a mixture. Pour rum into glasses over ice, then evenly layer the guava mixture over the rum. Mix as desired. Garnish with a half-slice of lemon.[1]",NA,"9 cl (6 parts) carbonated lime soda","Cuban Sunset","lime soda"
"205","Mixed drink",NA,"on the rocks, poured over ice","Lemon slice","Highball glass",NA,"Fill highball (tall) glass with ice. Mix lime soda, lemonade, guava nectar, and grenadine syrup together to form a mixture. Pour rum into glasses over ice, then evenly layer the guava mixture over the rum. Mix as desired. Garnish with a half-slice of lemon.[1]",NA,"4 cl (2 parts) lemonade","Cuban Sunset","lemonade"
"206","Mixed drink",NA,"on the rocks, poured over ice","Lemon slice","Highball glass",NA,"Fill highball (tall) glass with ice. Mix lime soda, lemonade, guava nectar, and grenadine syrup together to form a mixture. Pour rum into glasses over ice, then evenly layer the guava mixture over the rum. Mix as desired. Garnish with a half-slice of lemon.[1]",NA,"4 cl (2 parts) guava nectar","Cuban Sunset","guava nectar"
"207","Mixed drink",NA,"on the rocks, poured over ice","Lemon slice","Highball glass",NA,"Fill highball (tall) glass with ice. Mix lime soda, lemonade, guava nectar, and grenadine syrup together to form a mixture. Pour rum into glasses over ice, then evenly layer the guava mixture over the rum. Mix as desired. Garnish with a half-slice of lemon.[1]",NA,"2 cl (1.5 parts) grenadine syrup","Cuban Sunset","syrup"
"208","Mixed drink",NA,"on the rocks, poured over ice","Lemon slice","Highball glass",NA,"Fill highball (tall) glass with ice. Mix lime soda, lemonade, guava nectar, and grenadine syrup together to form a mixture. Pour rum into glasses over ice, then evenly layer the guava mixture over the rum. Mix as desired. Garnish with a half-slice of lemon.[1]",NA,"Garnish with lemon slice","Cuban Sunset","garnish  lemon"
"209","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","4.5 cl / 1.5oz (9 parts) white rum","Pour all ingredients into shaker with ice cubes. Shake well. Double Strain in chilled cocktail glass.","Happy Hour / Summer drink",NA,"Daiquiri","rum"
"210","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","2.5 cl / 5/6 oz (5 parts) lime juice","Pour all ingredients into shaker with ice cubes. Shake well. Double Strain in chilled cocktail glass.","Happy Hour / Summer drink",NA,"Daiquiri","lime juice"
"211","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","1.5 cl / 1/2 oz (3 parts) simple syrup","Pour all ingredients into shaker with ice cubes. Shake well. Double Strain in chilled cocktail glass.","Happy Hour / Summer drink",NA,"Daiquiri","syrup"
"212","Mixed drink","rum","On the rocks; poured over ice","Lime wedge","Highball glass","6 cl dark rum","Fill glass with ice, add rum and top with ginger beer. Garnish with lime wedge.",NA,NA,"Dark 'n' Stormy","rum"
"213","Mixed drink","rum","On the rocks; poured over ice","Lime wedge","Highball glass","10 cl ginger beer","Fill glass with ice, add rum and top with ginger beer. Garnish with lime wedge.",NA,NA,"Dark 'n' Stormy","gin"
"214","Cocktail","rum","Straight up; without ice","twist of orange peel","Cocktail glass",NA,"Stir well with ice, then strain into glass.  Garnish and serve.",NA,"Two parts rum","El Presidente","rum"
"215","Cocktail","rum","Straight up; without ice","twist of orange peel","Cocktail glass",NA,"Stir well with ice, then strain into glass.  Garnish and serve.",NA,"One part curacao","El Presidente","curacao"
"216","Cocktail","rum","Straight up; without ice","twist of orange peel","Cocktail glass",NA,"Stir well with ice, then strain into glass.  Garnish and serve.",NA,"One part dry vermouth","El Presidente","vermouth"
"217","Cocktail","rum","Straight up; without ice","twist of orange peel","Cocktail glass",NA,"Stir well with ice, then strain into glass.  Garnish and serve.",NA,"Dash grenadine","El Presidente","grenadine"
"218","Cocktail","whiskey","On the rocks; poured over ice",NA,"Collins glass",NA,"Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with lemonade.  Stir lightly and garnish with lime and mint.",NA,"1 part Jack Daniel's Tennessee Whiskey","Farnell","whiskey"
"219","Cocktail","whiskey","On the rocks; poured over ice",NA,"Collins glass",NA,"Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with lemonade.  Stir lightly and garnish with lime and mint.",NA,"3 parts lemonade","Farnell","lemonade"
"220","Cocktail","whiskey","On the rocks; poured over ice",NA,"Collins glass",NA,"Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with lemonade.  Stir lightly and garnish with lime and mint.",NA,"Ice","Farnell","ice"
"221","Cocktail","whiskey","On the rocks; poured over ice",NA,"Collins glass",NA,"Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with lemonade.  Stir lightly and garnish with lime and mint.",NA,"1 slice of lime","Farnell",""
"222","Cocktail","whiskey","On the rocks; poured over ice",NA,"Collins glass",NA,"Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with lemonade.  Stir lightly and garnish with lime and mint.",NA,"1 sprig of fresh mint","Farnell","mint"
"223","Cocktail","vodka","chilled","apple slice; lemon","Cocktail glass",NA,"Combine all three ingredients into a chilled glass and serve with ice and garnish.",NA,"1 shot Apple Vodka","Fizzy Apple Cocktail","apple vodka"
"224","Cocktail","vodka","chilled","apple slice; lemon","Cocktail glass",NA,"Combine all three ingredients into a chilled glass and serve with ice and garnish.",NA,"1/2 cup Apple Juice","Fizzy Apple Cocktail","apple juice"
"225","Cocktail","vodka","chilled","apple slice; lemon","Cocktail glass",NA,"Combine all three ingredients into a chilled glass and serve with ice and garnish.",NA,"1/2 cup Lemonade","Fizzy Apple Cocktail","lemonade"
"226","Mixed drink","beer",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"1 pint (~13 parts) beer","Flaming Doctor Pepper","pint  beer"
